title,sell_price,orig_price,rating,num_ratings
"Dyanora 100 cm (40 inch) HD Ready LED Smart Android Based TV with Noise Reduction,Android 9.0,Google V...","₹13,899","₹23,999",4.1,"3,789 Ratings & 488 Reviews"
KODAK CA Series 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,"₹26,999","₹42,999",4.5,"19,396 Ratings & 5,774 Reviews"
Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV with 20W Powerful Audio & Bezel-le...,"₹21,999","₹29,999",4.3,"37,297 Ratings & 3,277 Reviews"
KODAK X900 80 cm (32 inch) HD Ready LED TV,"₹8,499","₹15,999",4.1,"15,127 Ratings & 2,381 Reviews"
Blaupunkt Cybersound 106 cm (42 inch) Full HD LED Smart Android TV with 40W Speaker,"₹18,999","₹29,999",4.4,"9,650 Ratings & 2,175 Reviews"
"Dyanora 109 cm (43 inch) Full HD LED Smart Android TV with Noise Reduction, Android 9.0, Google Voice ...","₹16,649","₹32,999",4.1,"3,789 Ratings & 488 Reviews"
DACS D13X Bezel less 80 cm (32 inch) HD Ready LED Smart Android Based TV 2022 Edition,"₹8,888","₹19,990",,
,,,,
,,,,
Coocaa 100 cm (40 inch) Full HD LED Smart Coolita TV with Dolby Audio and Eye Care Technology,"₹15,999","₹39,999",4.2,"17,996 Ratings & 2,768 Reviews"
KODAK 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,"₹59,999","₹84,999",4.7,348 Ratings & 86 Reviews
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"13,195 Ratings & 1,891 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8,"13,195 Ratings & 1,891 Reviews"
LG All-in-One 108 cm (43 inch) Full HD LED Smart WebOS TV,"₹32,900","₹47,990",4.4,"5,237 Ratings & 586 Reviews"
Thomson 9A Series 98 cm (40 inch) Full HD LED Smart Android TV,"₹16,999","₹21,499",4.3,"85,977 Ratings & 17,983 Reviews"
